50000 0.002222 2.349240 0.008317
100000 0.003164 9.234886 0.016870
150000 0.003139 20.829758 0.025593
200000 0.003789 36.831129 0.034435
250000 0.004373 57.548940 0.044618
300000 0.005014 83.285390 0.052552
350000 0.005685 112.256270 0.060818
400000 0.006711 146.567327 0.070453
450000 0.006872 185.267120 0.078727
500000 0.007319 237.612675 0.086568
550000 0.007831 277.767776 0.097419
600000 0.008490 335.054210 0.107245
650000 0.009200 388.840554 0.115322
700000 0.009575 450.770316 0.124736
750000 0.010147 519.077887 0.134255
800000 0.010690 588.862487 0.141283
850000 0.011391 666.829832 0.151231
900000 0.011779 748.308120 0.159203
950000 0.012913 835.646434 0.169693
1000000 0.012899 928.404258 0.179611
